SEX,DIED,L_THREAT,ER_VISIT,HOSPITAL,DISABLE,BIRTH_DEFECT,RECOVD,V_ADMINBY,VAX_MANU,VAX_SITE,VAX_ROUTE,AGE_GRP,CLUSTER,0
0,0,0,0,0,0,0,1,4,2,6,1,4,1,73
0,0,0,0,0,0,0,0,4,1,6,1,4,1,65
0,0,0,0,0,0,0,0,4,2,6,1,3,1,51
0,0,0,0,0,0,0,0,4,1,2,5,4,1,45
0,0,0,0,0,0,0,0,4,2,6,1,4,1,39
0,0,0,0,0,0,0,0,4,2,2,5,3,1,29
0,0,0,0,0,0,0,0,4,2,6,1,5,1,27
0,0,0,0,0,0,0,0,7,1,6,1,4,1,25
0,0,0,0,0,0,0,1,4,2,2,5,4,1,24
0,0,0,0,0,0,0,0,4,2,2,3,4,1,23
0,0,0,0,0,0,0,0,3,1,6,1,4,1,21
0,0,0,0,0,0,0,0,4,2,2,5,4,1,19
0,0,0,0,0,0,0,1,4,2,6,5,3,1,17
0,0,0,0,0,0,0,1,7,2,6,1,4,1,16
0,0,0,0,0,0,0,0,4,1,6,5,4,1,16
0,0,0,0,0,0,0,0,4,2,2,5,5,1,15
0,0,0,0,0,0,0,0,4,1,6,5,3,1,15
1,0,0,0,0,0,0,0,4,2,6,1,3,1,13
0,0,0,0,0,0,0,0,4,2,6,3,3,1,13
1,0,0,0,0,0,0,1,4,2,6,1,4,1,12
0,0,0,0,0,0,0,0,4,2,6,5,4,1,12
0,0,0,0,0,0,0,0,4,1,6,5,2,1,12
0,0,0,0,0,0,0,0,4,1,6,5,5,1,11
0,0,0,0,0,0,0,0,4,2,6,3,4,1,11
0,0,0,0,0,0,0,0,7,2,2,5,3,1,11
0,0,0,0,0,0,0,0,7,2,6,1,3,1,11
0,0,0,0,0,0,0,0,3,1,2,5,4,1,11
0,0,0,0,0,0,0,1,4,2,6,5,2,1,10
0,0,0,0,0,0,0,0,7,2,6,1,4,1,10
0,0,0,0,0,0,0,0,7,1,2,5,4,1,10
0,0,0,0,0,0,0,0,7,2,2,5,4,1,10
0,0,0,0,0,0,0,0,4,2,6,5,3,1,9
0,0,0,0,0,0,0,0,4,2,6,5,5,1,9
1,0,0,0,0,0,0,0,4,2,6,1,4,1,9
1,0,0,0,0,0,0,0,4,1,2,5,4,1,8
0,0,0,0,0,0,0,1,7,2,2,5,4,1,8
0,0,0,0,0,0,0,0,4,2,6,3,5,1,7
1,0,0,0,0,0,0,0,4,1,6,1,4,1,7
0,0,0,0,0,0,0,1,4,2,6,3,5,1,7
0,0,0,0,0,0,0,1,4,2,6,5,4,1,7
0,0,0,0,0,0,0,0,4,2,6,3,2,1,7
1,0,0,0,0,0,0,0,4,2,2,5,4,1,7
0,0,0,0,0,0,0,1,4,1,6,5,4,1,6
0,0,0,0,0,0,0,0,4,2,2,5,6,1,6
0,0,0,0,0,0,0,0,7,2,6,1,5,1,6
1,0,0,0,0,0,0,0,4,2,2,5,3,1,6
0,0,0,0,0,0,0,1,3,2,6,1,4,1,6
0,0,0,0,0,0,0,0,4,2,6,1,6,1,5
0,0,0,0,0,0,0,1,7,2,6,5,2,1,5
0,0,0,0,0,0,0,0,3,1,6,5,2,1,5
1,0,0,0,0,0,0,0,4,2,6,1,6,1,5
0,0,0,0,0,0,0,1,6,2,6,1,4,1,5
0,0,0,0,0,0,0,0,6,2,6,1,4,1,5
0,0,0,0,0,0,0,0,6,2,6,1,3,1,4
1,0,0,0,0,0,0,0,4,2,6,1,5,1,4
0,0,0,0,0,0,0,1,6,2,2,5,4,1,4
0,0,0,0,0,0,0,0,7,2,2,5,6,1,4
0,0,0,0,0,0,0,1,7,1,6,5,4,1,4
0,0,0,0,0,0,0,0,4,2,6,5,2,1,4
1,0,0,0,0,0,0,1,4,2,6,5,4,1,4
0,0,0,0,0,0,0,0,1,1,6,5,2,1,4
0,0,0,0,0,0,0,0,7,2,6,5,3,1,4
0,0,0,0,0,0,0,0,7,1,6,5,3,1,4
1,0,0,0,0,0,0,1,4,2,2,5,4,1,4
0,0,0,0,0,0,0,0,3,2,2,5,4,1,4
0,0,0,0,0,0,0,1,4,2,6,3,2,1,3
1,0,0,0,0,0,0,0,4,2,2,5,5,1,3
0,0,0,0,0,0,0,0,3,1,6,5,4,1,3
0,0,0,0,0,0,0,0,6,1,6,1,4,1,3
1,0,0,0,0,0,0,1,4,1,6,5,4,1,3
0,0,0,0,0,0,0,1,1,2,6,5,3,1,3
1,0,0,0,0,0,0,0,4,2,2,3,4,1,3
0,0,0,0,0,0,0,0,7,1,6,5,5,1,3
1,0,0,0,0,0,0,0,4,2,6,3,4,1,3
0,0,0,0,0,0,0,0,6,2,6,1,5,1,3
1,0,0,0,0,0,0,0,4,2,6,3,3,1,3
1,0,0,0,0,0,0,0,4,1,6,5,4,1,3
1,0,0,0,0,0,0,1,7,2,6,1,4,1,3
0,0,0,0,0,0,0,0,0,2,6,1,4,1,3
0,0,0,0,0,0,0,1,7,2,6,5,4,1,3
0,0,0,0,0,0,0,0,4,2,6,3,6,1,3
0,0,0,0,0,0,0,0,4,2,0,1,4,1,3
0,0,0,0,0,0,0,1,7,2,6,5,3,1,3
0,0,0,0,0,0,0,1,7,2,6,5,5,1,3
0,0,0,0,0,0,0,0,1,1,6,5,3,1,3
0,0,0,0,0,0,0,0,4,2,2,5,1,1,3
0,0,0,0,0,0,0,0,7,2,6,3,4,1,2
1,0,0,0,0,0,0,0,3,2,2,5,6,1,2
0,0,0,0,0,0,0,0,7,2,6,5,4,1,2
1,0,0,0,0,0,0,0,4,2,2,5,6,1,2
0,0,0,0,0,0,0,0,7,2,6,5,5,1,2
0,0,0,0,0,0,0,1,2,1,6,5,4,1,2
0,0,0,0,0,0,0,1,4,2,6,3,6,1,2
0,0,0,0,0,0,0,0,7,2,2,5,5,1,2
0,0,0,0,0,0,0,1,4,2,6,5,6,1,2
0,0,0,0,0,0,0,1,4,2,6,5,5,1,2
0,0,0,0,0,0,0,1,4,2,6,3,4,1,2
0,0,0,0,0,0,0,0,7,1,6,5,4,1,2
0,0,0,0,0,0,0,1,0,2,6,1,4,1,2
0,0,0,0,0,0,0,0,7,2,6,1,6,1,2
0,0,0,0,0,0,0,0,7,2,6,5,6,1,2
0,0,0,0,0,0,0,0,6,2,2,5,3,1,2
0,0,0,0,0,0,0,0,7,1,6,5,2,1,2
0,0,0,0,0,0,0,0,3,2,2,5,5,1,2
0,0,0,0,0,0,0,0,3,1,6,5,7,1,2
0,0,0,0,0,0,0,0,6,2,6,5,4,1,2
0,0,0,0,0,0,0,0,3,1,6,5,3,1,2
0,0,0,0,0,0,0,0,2,2,6,1,3,1,2
0,0,0,0,0,0,0,0,2,1,6,5,5,1,2
0,0,0,0,0,0,0,0,2,1,6,5,3,1,2
0,0,0,0,0,0,0,0,2,1,6,1,4,1,2
0,0,0,0,0,0,0,0,2,1,2,5,4,1,2
0,0,0,0,1,0,0,0,4,2,6,1,3,1,2
1,0,0,0,0,0,0,1,4,2,6,5,2,1,2
1,0,0,0,0,0,0,1,6,2,6,1,4,1,2
0,0,0,0,0,0,0,0,1,1,6,5,5,1,2
0,0,0,0,0,0,0,0,1,1,6,5,4,1,2
1,0,0,0,0,0,0,1,6,2,6,5,8,1,2
0,0,0,0,1,0,0,1,4,2,6,1,4,1,2
1,0,0,0,0,0,0,1,1,2,6,5,4,1,2
0,0,0,0,0,0,0,0,3,1,6,5,6,1,2
1,0,0,0,0,0,0,0,7,2,2,5,4,1,2
0,0,0,0,0,0,0,0,5,2,6,5,5,1,2
1,0,0,0,0,0,0,1,0,2,6,1,4,1,2
1,0,0,0,0,0,0,0,7,2,6,5,4,1,2
0,0,0,0,0,0,0,0,4,1,6,5,6,1,2
0,0,0,0,0,0,0,0,4,2,6,1,1,1,2
1,0,0,0,0,0,0,0,4,2,6,3,5,1,2
0,0,0,0,0,0,0,0,5,1,2,5,4,1,2
0,0,0,0,0,0,0,0,6,1,6,5,2,1,2
1,0,0,0,0,0,0,0,5,1,6,5,3,1,2
0,0,0,0,0,0,0,0,6,1,2,5,4,1,2
1,0,0,0,0,0,0,0,0,1,6,5,4,1,1
1,0,0,0,0,0,0,0,0,2,2,5,3,1,1
1,0,0,0,0,0,0,0,0,2,2,5,7,1,1
1,0,0,0,0,0,0,0,0,2,6,5,5,1,1
1,0,0,0,0,0,0,0,3,2,2,5,4,1,1
1,0,0,0,0,0,0,0,2,1,6,5,2,1,1
1,0,0,0,0,0,0,0,1,2,6,3,2,1,1
1,0,0,0,0,0,0,0,2,1,6,5,3,1,1
1,0,0,0,0,0,0,0,3,1,6,5,6,1,1
1,0,0,0,0,0,0,0,3,1,6,5,3,1,1
1,0,0,0,0,0,0,0,4,1,0,5,6,1,1
1,0,0,0,0,0,0,0,3,1,6,5,2,1,1
1,0,0,0,0,0,0,0,1,2,6,5,6,1,1
1,0,0,0,0,0,0,0,2,1,6,5,1,1,1
1,0,0,0,0,0,0,0,1,2,6,5,3,1,1
0,0,0,0,0,0,0,0,0,1,6,5,4,1,1
1,0,0,0,0,0,0,0,4,1,6,5,5,1,1
1,0,0,0,0,0,0,0,4,1,6,5,6,1,1
1,1,0,0,0,0,0,0,6,2,6,1,6,1,1
1,1,0,0,0,0,0,0,4,2,0,5,6,1,1
1,0,1,0,1,0,0,0,3,2,6,1,4,1,1
1,0,0,0,0,1,0,0,4,2,6,1,1,1,1
1,0,0,0,0,0,0,1,7,1,6,5,4,1,1
1,0,0,0,0,0,0,1,4,2,6,5,3,1,1
1,0,0,0,0,0,0,1,4,2,6,3,4,1,1
1,0,0,0,0,0,0,1,4,2,6,3,2,1,1
1,0,0,0,0,0,0,1,3,1,6,5,4,1,1
1,0,0,0,0,0,0,1,2,2,6,1,4,1,1
